"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-08","24.9",",,S","27.0","H,,S","30.6",",,S","22.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-09","3.0",",,S","28.0","H,,S","30.8",",,S","23.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-10","14.0",",,S","26.7","H,,S","27.9",",,S","24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-11","0.0",",,S","28.6","H,,S",,,"24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-12","0.0",",,S","28.1","H,,S","30.7",",,S","25.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-13","0.0",",,S","26.6","H,,S","28.7",",,S","24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-14","8.4",",,S","27.7","H,,S","30.6",",,S","24.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-15","0.0",",,S","28.3","H,,S",,,"24.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-16","0.0",",,S","29.8","H,,S","32.5",",,S","25.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-18","0.0",",,S","27.8","H,,S",,,"24.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-19","0.0",",,S","27.8","H,,S",,,"24.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-20","0.5",",,S","28.2","H,,S","32.0",",,S","24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-21","4.3",",,S","27.8","H,,S",,,"24.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-22","10.7",",,S","25.3","H,,S",,,"23.7",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-23","17.0",",,S","27.1","H,,S","29.0",",,S","22.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-24","7.1",",,S","29.4","H,,S","31.8",",,S","23.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-25","0.5",",,S","28.1","H,,S","31.5",",,S","23.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-08-26","4.6",",,S","26.6","H,,S","28.8",",,S","23.0",",,S"
